Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
LJHY9CKKZL,2024-07-28 14:37:00 UTC,,,,345.00,USD,345.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,OMA706,A4OML,HTDA,DAR,OOMS,MCT,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-28 @ 14:37 UTC,2024-07-28 @ 16:55 UTC,02:18:00,f7cc123a-8263-43d0-8fe7-e87135618dc7,b08154eb-8c4e-474e-b065-2ba44eb77d3e,39,39,8280,18120,4026.13,109,109,false,2024-07-28 13:38:00 UTC,2024-07-28 18:40:00 UTC,2024-07-28 13:15:00 UTC,2024-07-28 18:50:00 UTC
WDQ3DF9XHL,2024-07-29 05:58:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETIHAD AIRWAYS,79JEJE3VVK,ETD956,A6DDE,OMAA,AUH,FAOR,JNB,BOEING,BOEING 777-200,B772,247210.0,2024-07-29 @ 05:58 UTC,2024-07-29 @ 07:56 UTC,01:58:00,ec251fb4-5d07-4fea-8851-02ce34497b7b,84aff854-73a5-4482-a57a-61e843633a15,23,23,7080,26520,6631.29,195,195,false,2024-07-29 04:28:00 UTC,2024-07-29 11:50:00 UTC,2024-07-29 04:15:00 UTC,2024-07-29 12:25:00 UTC
2VPA9TTT4N,2024-07-28 12:45:00 UTC,,,,245.00,USD,245.00,USD,Somalia,CONSTANTA,H3PCX4XKPM,UNO691P,URUZG,,,HCMM,MGQ,ANTONOV,ANTONOV An-26,AN26,24000.0,2024-07-28 @ 12:45 UTC,2024-07-28 @ 13:19 UTC,00:34:00,d543e7d7-b9d1-4294-a247-dc12ebc8e22d,031d253c-83cd-49fe-b7a9-fc7440538867,24,24,2040,2100,224.09,24,24,false,2024-07-28 12:45:00 UTC,2024-07-28 13:20:00 UTC,,
2ANKEH73W7,2024-07-29 19:35:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR5H,A7BTA,HKJK,NBO,OTHH,DOH,BOEING,BOEING 777-200F,B77L,347500.0,2024-07-29 @ 19:35 UTC,2024-07-29 @ 22:05 UTC,02:30:00,544e8729-5dcb-45c7-aee7-36750cacf259,38741f4c-7dad-4ede-b09d-3fe62ac71764,4,4,9000,17400,4096.09,78,78,false,2024-07-29 19:16:00 UTC,2024-07-30 00:06:00 UTC,2024-07-29 19:15:00 UTC,2024-07-30 00:25:00 UTC
TLPPLWMPYU,2024-07-24 06:57:00 UTC,,,,345.00,USD,345.00,USD,Somalia,AIR ARABIA,R3YRCFJFWK,ABY734,A6AOI,OMSJ,SHJ,HKJK,NBO,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-07-24 @ 06:57 UTC,2024-07-24 @ 09:15 UTC,02:18:00,44bc0ce9-30ba-48f1-83d7-4197cfbbd1de,acb35cfe-9926-4b70-820d-97a1b86c422d,4,4,8280,17340,3939.27,117,117,false,2024-07-24 05:10:00 UTC,2024-07-24 09:59:00 UTC,2024-07-24 05:00:00 UTC,2024-07-24 10:05:00 UTC
3DAMEUQ2D7,2024-07-28 20:05:00 UTC,,,,395.00,USD,395.00,USD,Somalia,BRITISH AIRWAYS,FARTC4XRVN,BAW2064,GYMMF,FIMP,MRU,EGKK,LGW,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-28 @ 20:05 UTC,2024-07-28 @ 20:54 UTC,00:49:00,6a5e5d64-074d-4c45-a620-e81008f1414a,78363927-e084-47fa-82a9-440dceab943f,13,13,2940,42720,10131.93,275,275,false,2024-07-28 17:10:00 UTC,2024-07-29 05:02:00 UTC,2024-07-28 16:40:00 UTC,2024-07-29 05:20:00 UTC
TPMJEK7YXT,2024-07-29 00:55:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH639,ETAYC,WSSS,SIN,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-07-29 @ 00:55 UTC,2024-07-29 @ 02:42 UTC,01:47:00,91d7a631-879c-490c-9dcf-8609749bba01,fda1b20b-c4ad-42d4-af77-3b7b81c957b2,4,4,6420,31200,7956.14,255,255,false,2024-07-28 18:15:00 UTC,2024-07-29 02:55:00 UTC,2024-07-28 18:00:00 UTC,2024-07-29 02:50:00 UTC
PX7VVPZ94Z,2024-07-29 21:16:00 UTC,,,,345.00,USD,345.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,OMA707,A4OME,OOMS,MCT,HTDA,DAR,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-29 @ 21:16 UTC,2024-07-29 @ 23:18 UTC,02:02:00,64d1051e-84a6-4950-bd06-a405eff24e03,f546cc39-41f5-4c60-a97b-75fc8efc2fa2,31,31,7320,17340,4040.77,92,92,false,2024-07-29 19:43:00 UTC,2024-07-30 00:32:00 UTC,2024-07-29 18:50:00 UTC,2024-07-30 00:20:00 UTC
NF94TPJKQE,2024-07-29 15:50:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1336,A7BBH,HKJK,NBO,OTHH,DOH,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-07-29 @ 15:50 UTC,2024-07-29 @ 18:24 UTC,02:34:00,ca47c439-4e7c-4635-9899-5d67b1d902e8,3c2a2f2e-ac79-4e12-934b-b792ecef5f6c,4,4,9240,18060,4090.57,86,86,false,2024-07-29 15:28:00 UTC,2024-07-29 20:29:00 UTC,2024-07-29 15:10:00 UTC,2024-07-29 20:40:00 UTC
4M3MMHLP9Q,2024-07-29 06:09:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE247,A6EWE,OMDB,DXB,SBGL,GIG,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-07-29 @ 06:09 UTC,2024-07-29 @ 06:09 UTC,00:00:00,804c0257-bf26-46f4-9833-595c43d46809,7fbd4053-4fda-4cff-a67d-d462b3b9657c,2,2,0,52380,12826.66,255,255,false,2024-07-29 04:36:00 UTC,2024-07-29 19:09:00 UTC,2024-07-29 04:05:00 UTC,2024-07-29 18:55:00 UTC
NQPEZWP722,2024-07-29 21:11:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE60L,A6EPC,FACT,CPT,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-29 @ 21:11 UTC,2024-07-29 @ 23:24 UTC,02:13:00,edd0e59c-409c-43e6-a3e2-d2c426ccf23b,62c871c3-3f8c-47e2-8072-61cc22a24185,36,36,7980,31800,7998.43,274,274,false,2024-07-29 16:31:00 UTC,2024-07-30 01:21:00 UTC,2024-07-29 16:20:00 UTC,2024-07-30 01:45:00 UTC
EUNKQYJQA4,2024-07-29 20:49:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE776,A6EPD,FALE,DUR,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-29 @ 20:49 UTC,2024-07-29 @ 22:54 UTC,02:05:00,5c1856c5-7c57-4685-8755-4af7b0d6d059,4ed3b92e-21cd-4317-b527-3fbeae3f5563,30,30,7500,28860,6908.09,224,224,false,2024-07-29 17:00:00 UTC,2024-07-30 01:01:00 UTC,2024-07-29 16:40:00 UTC,2024-07-30 01:00:00 UTC
AVQQAKQWTT,2024-07-29 07:22:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR8775,A7BFT,EDDF,FRA,FAOR,JNB,BOEING,BOEING 777-200F,B77L,347500.0,2024-07-29 @ 07:22 UTC,2024-07-29 @ 09:20 UTC,01:58:00,84142a61-9fe1-4907-93fb-c4fb751f7b82,f3d1e2bc-3dce-4a23-b39a-d4e23c466c20,28,28,7080,29400,11632.45,207,208,false,2024-07-29 05:27:00 UTC,2024-07-29 13:37:00 UTC,,
PEWML4EJDJ,2024-07-29 01:48:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH607,ETASK,ZGGG,CAN,HAAB,ADD,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-29 @ 01:48 UTC,2024-07-29 @ 01:48 UTC,00:00:00,d2629bf7-6035-49b2-a3b6-0ac84934e97d,8219a61f-4e38-427e-98e9-b200323fea6d,2,2,0,32100,8314.7,125,125,false,2024-07-28 17:01:00 UTC,2024-07-29 01:56:00 UTC,2024-07-28 16:30:00 UTC,2024-07-29 02:55:00 UTC
2LPE4EWLMN,2024-07-29 08:40:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE1KN,A6EPD,OMDB,DXB,FALE,DUR,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-29 @ 08:40 UTC,2024-07-29 @ 10:33 UTC,01:53:00,8c74705b-a01d-460e-b494-87079fbf884e,b39b6385-4cc3-4b9d-ae3b-b046645d36cb,29,29,6780,28500,6906.77,238,238,false,2024-07-29 07:02:00 UTC,2024-07-29 14:57:00 UTC,,
NM9E42ZH9F,2024-07-31 21:10:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU71B,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-31 @ 21:10 UTC,2024-07-31 @ 21:36 UTC,00:26:00,7a8dbf65-1f03-491b-8156-489d5b184597,c095b532-b6f0-4b8d-a091-79eae0d12fd8,28,28,1560,39480,9522.2,280,280,false,2024-07-31 18:23:00 UTC,2024-08-01 05:21:00 UTC,2024-07-31 18:10:00 UTC,2024-08-01 05:35:00 UTC
NXVJFVEN9J,2024-07-31 01:36:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU70A,FHMIB,LFPO,ORY,FMEE,RUN,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-31 @ 01:36 UTC,2024-07-31 @ 02:03 UTC,00:27:00,82997c0c-76bf-4307-90bc-958b68dac934,ea03bff0-e8a6-4328-9bc2-5a597491fcb5,29,29,1620,38820,9558.04,241,241,false,2024-07-30 18:12:00 UTC,2024-07-31 04:59:00 UTC,2024-07-30 17:55:00 UTC,2024-07-31 05:00:00 UTC
97LHFED2VY,2024-07-28 13:47:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE724,A6EGK,HAAB,ADD,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-28 @ 13:47 UTC,2024-07-28 @ 15:30 UTC,01:43:00,352e6cd2-aefc-4257-8bf0-50de44eeb67e,2f6bd4cb-e645-4b0c-9f32-0a1fb6b795f2,2,2,6180,14580,3119.22,104,104,false,2024-07-28 13:23:00 UTC,2024-07-28 17:26:00 UTC,2024-07-28 13:00:00 UTC,2024-07-28 17:10:00 UTC
PWUVAMEUPD,2024-07-29 15:23:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH3685,ETAVQ,VHHH,HKG,HAAB,ADD,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-07-29 @ 15:23 UTC,2024-07-29 @ 17:06 UTC,01:43:00,1996f18f-07cb-4a1e-8b52-b5bb8525d78a,8777e7c6-492c-4fcb-a210-5a30a233772e,4,4,6180,32640,8485.67,301,301,false,2024-07-29 08:09:00 UTC,2024-07-29 17:13:00 UTC,,
J47KU9K4LP,2024-07-29 13:22:00 UTC,,,,345.00,USD,345.00,USD,Somalia,AIR ARABIA,R3YRCFJFWK,ABY735,A6ATC,HKJK,NBO,OMSJ,SHJ,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-07-29 @ 13:22 UTC,2024-07-29 @ 15:47 UTC,02:25:00,34d8d179-a619-4fa9-a1e5-2f34fb47b45f,862df674-498b-4739-8de6-443f80a20729,4,4,8700,17580,3875.38,104,104,false,2024-07-29 12:46:00 UTC,2024-07-29 17:39:00 UTC,2024-07-29 10:55:00 UTC,2024-07-29 16:00:00 UTC
3N9QYYVL3P,2024-07-29 22:50:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH604,ETAVC,HAAB,ADD,ZBAA,PEK,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-29 @ 22:50 UTC,2024-07-29 @ 22:50 UTC,00:00:00,ac6ccfd1-be27-44fa-9787-e3bda6e9f713,ffff9285-3789-48a1-992c-e390a4207278,4,4,0,37140,8982.3,374,374,false,2024-07-29 22:38:00 UTC,2024-07-30 08:57:00 UTC,2024-07-29 22:15:00 UTC,2024-07-30 09:20:00 UTC
QUECYQDMWY,2024-07-28 09:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE7X,A6EOQ,OMDB,DXB,FIMP,MRU,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-07-28 @ 09:06 UTC,2024-07-28 @ 09:06 UTC,00:00:00,b9d2d128-36e1-4178-b807-24f1a3f540ee,a9c9e154-1aed-4253-9607-f84ca77503eb,2,2,0,21180,5179.51,136,136,false,2024-07-28 07:27:00 UTC,2024-07-28 13:20:00 UTC,,
KJXKAZLEL2,2024-07-29 10:21:00 UTC,,,,395.00,USD,395.00,USD,Somalia,OMAN AIR,PWYJYKMFN9,QTR42L,A4ODJ,HTDA,DAR,OTHH,DOH,AIRBUS,AIRBUS A-330-300,A333,230000.0,2024-07-29 @ 10:21 UTC,2024-07-29 @ 12:05 UTC,01:44:00,1c15b351-5bc5-4d1b-89af-bcb4eaf52766,5b9c4c3f-9b80-4fa5-9af8-b223a7301942,34,34,6240,19860,4523.51,152,152,false,2024-07-29 09:12:00 UTC,2024-07-29 14:43:00 UTC,2024-07-29 08:45:00 UTC,2024-07-29 14:30:00 UTC
XV4KXQPNP7,2024-07-23 21:53:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR10R,A7ALM,FAOR,JNB,OTHH,DOH,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-23 @ 21:53 UTC,2024-07-24 @ 00:08 UTC,02:15:00,a390103c-c50b-4cf4-beda-95d135b70652,7a537a2e-f412-4ff5-bd3b-3f5e779734ff,42,42,8100,27960,6880.38,211,211,false,2024-07-23 18:27:00 UTC,2024-07-24 02:13:00 UTC,2024-07-23 18:15:00 UTC,2024-07-24 02:35:00 UTC
YP3YTNNEUP,2024-07-24 02:47:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH639,ETAXK,WSSS,SIN,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.9),B789,254011.7272,2024-07-24 @ 02:47 UTC,2024-07-24 @ 02:47 UTC,00:00:00,3c86098c-9772-46f7-b757-6090466f5c40,5cc9e9f5-e65b-4335-b917-b07d0dd75921,4,4,0,30420,7879.35,273,273,false,2024-07-23 18:36:00 UTC,2024-07-24 03:03:00 UTC,2024-07-23 18:00:00 UTC,2024-07-24 02:50:00 UTC
KCYPNP3ZW4,2024-07-23 23:49:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH645,ETAOR,VHHH,HKG,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-23 @ 23:49 UTC,2024-07-24 @ 01:34 UTC,01:45:00,fb8f30dc-4653-4215-8023-87aeb581f370,5437d807-62fe-4e48-86c5-9c7417e13d0a,4,4,6300,32160,8469.14,292,292,false,2024-07-23 16:49:00 UTC,2024-07-24 01:45:00 UTC,2024-07-23 16:25:00 UTC,2024-07-24 02:25:00 UTC
YAUL97VFKV,2024-07-28 08:11:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE4DU,A6EUB,OMDB,DXB,FAOR,JNB,AIRBUS,AIRBUS A-380-800,A388,560000.0,2024-07-28 @ 08:11 UTC,2024-07-28 @ 10:07 UTC,01:56:00,97a6bfad-79a7-4371-a76d-dd4061acebb8,11b4523c-d132-4df0-acab-05ca543d9ef5,29,29,6960,28020,6651.72,226,226,false,2024-07-28 06:33:00 UTC,2024-07-28 14:20:00 UTC,,
2JUJTZC3WA,2024-07-28 23:03:00 UTC,,,,395.00,USD,395.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR10R,A7ALT,FAOR,JNB,OTHH,DOH,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-28 @ 23:03 UTC,2024-07-29 @ 01:13 UTC,02:10:00,cca6bd1b-37d2-451f-b136-5eefb40df0ad,15d2c6bc-56cf-4256-9eea-bcb932d4e8f9,39,39,7800,28080,6934.6,217,217,false,2024-07-28 19:28:00 UTC,2024-07-29 03:16:00 UTC,2024-07-28 18:15:00 UTC,2024-07-29 02:35:00 UTC
TTZWK2A7KE,2024-07-27 11:21:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU75F,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-27 @ 11:21 UTC,2024-07-27 @ 12:30 UTC,01:09:00,10d9f033-fc43-4c71-bb07-bc1ef06d49ea,8a468c74-fee4-45f0-a283-be89a1f0c09f,29,29,4140,39300,9538.41,247,247,false,2024-07-27 08:30:00 UTC,2024-07-27 19:25:00 UTC,2024-07-27 08:20:00 UTC,2024-07-27 19:45:00 UTC
PQYYUTHWUP,2024-07-28 21:50:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU71B,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-28 @ 21:50 UTC,2024-07-28 @ 22:17 UTC,00:27:00,4ae3c5ee-8cf3-46fa-8a10-6f5d692f93e8,3a2e9797-3382-4d19-9810-86a6c7e49b1e,29,29,1620,39720,9505.37,262,262,false,2024-07-28 19:02:00 UTC,2024-07-29 06:04:00 UTC,,
J3E2P9A7WJ,2024-07-06 15:44:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU75F,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-06 @ 15:44 UTC,2024-07-06 @ 15:44 UTC,00:00:00,01dea40a-14b7-43bb-8600-3412857a6a7a,966a1db3-b306-4345-9738-a60d886cc68d,1,2,0,14820,9425.78,215,216,false,2024-07-06 15:44:00 UTC,2024-07-06 19:51:00 UTC,2024-07-06 08:20:00 UTC,2024-07-06 19:45:00 UTC
PHDKFZCW7Q,2024-07-24 05:34:00 UTC,,,,345.00,USD,345.00,USD,Somalia,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),MX37XUPJXH,THY646,TCLCR,LTFM,IST,HCMM,MGQ,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-24 @ 05:34 UTC,2024-07-24 @ 06:02 UTC,00:28:00,fa2f2a21-4e97-46c4-b321-1c631c5e3c67,d2d11665-4538-41ff-bff2-6ef0d8fe0981,30,30,1680,22500,4959.75,154,154,false,2024-07-23 23:49:00 UTC,2024-07-24 06:04:00 UTC,2024-07-23 23:15:00 UTC,2024-07-24 06:05:00 UTC
KPYWFXTPQC,2024-07-29 21:12:00 UTC,,,,345.00,USD,345.00,USD,Somalia,QATAR AIRWAYS COMPANY,VJRFT7T74N,QTR1488,A7AHR,HTZA,ZNZ,OTHH,DOH,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-07-29 @ 21:12 UTC,2024-07-29 @ 23:27 UTC,02:15:00,b8ad08f9-48a8-46d9-a0d4-40da72366591,dbeb286c-5bc1-4e4f-ba34-35ef8f85a534,33,33,8100,19620,4356.94,118,118,false,2024-07-29 20:11:00 UTC,2024-07-30 01:38:00 UTC,2024-07-29 20:20:00 UTC,2024-07-30 02:15:00 UTC
3JEAVMKTPT,2024-07-24 03:02:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR FRANCE,VCUKH9C3FA,AFR642,FGZNG,LFPO,ORY,FMEE,RUN,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-24 @ 03:02 UTC,2024-07-24 @ 03:38 UTC,00:36:00,6eb430f0-7552-4ccc-b163-b8245bf60135,33e0012f-32a2-4c72-b59a-38d2fd782924,26,26,2160,42600,10955.87,440,440,false,2024-07-23 19:21:00 UTC,2024-07-24 07:11:00 UTC,2024-07-23 19:00:00 UTC,
WL9JVXT9CE,2024-07-28 16:31:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH837,ETBAN,FMNN,NOS,HAAB,ADD,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-28 @ 16:31 UTC,2024-07-28 @ 16:31 UTC,00:00:00,39e99632-54b7-4504-be9b-ebb9d070bbde,062b0135-9b99-4198-8ed3-b2790e5e60ad,1,2,0,960,2764.18,16,17,false,2024-07-28 16:31:00 UTC,2024-07-28 16:47:00 UTC,,
E2PKJHN4EH,2024-07-24 03:28:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH3856,ETAVQ,HAAB,ADD,ZGGG,CAN,BOEING,BOEING 777-200LR BBJ,B77L,347500.0,2024-07-24 @ 03:28 UTC,2024-07-24 @ 05:21 UTC,01:53:00,b3320f66-f5f1-4374-90d9-6b7b3bb3116e,72ebbf5f-c86c-47e4-ac4a-59d71a2f5494,4,4,6780,38040,8205.59,392,392,false,2024-07-24 03:18:00 UTC,2024-07-24 13:52:00 UTC,,
KLCWAQXEQJ,2024-07-29 21:24:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH638,ETAOR,HAAB,ADD,WSSS,SIN,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-29 @ 21:24 UTC,2024-07-29 @ 22:34 UTC,01:10:00,b2e1bcd6-4f57-42c2-a41c-83dc084f814b,27170352-1b21-4682-821d-5a6a62a49774,4,4,4200,35280,7886.32,288,288,false,2024-07-29 21:19:00 UTC,2024-07-30 07:07:00 UTC,2024-07-29 20:50:00 UTC,2024-07-30 06:50:00 UTC
7CXWYY37PL,2024-07-29 10:05:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FREEDOM AIRLINES,MVEKTJTP9T,FDT315,5YFAH,,,HCMM,MGQ,AIRBUS,AIRBUS A-320 ,A320,73900.0,2024-07-29 @ 10:05 UTC,2024-07-29 @ 10:31 UTC,00:26:00,69bf2c8b-2f66-403a-bdd3-e3604bd9f8c2,5051483b-a9a3-407a-b586-17720c612468,27,27,1560,1620,269.23,27,27,false,2024-07-29 10:05:00 UTC,2024-07-29 10:32:00 UTC,,
TKAKUTUVCY,2024-07-28 22:39:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE788,A6ENP,DGAA,ACC,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-28 @ 22:39 UTC,2024-07-28 @ 22:39 UTC,00:00:00,145fcb51-c7bc-41f6-9829-1c347b3043ef,4b49881a-5efe-43b9-85b6-f6703500f7b6,2,2,0,31080,7464.26,188,188,false,2024-07-28 17:33:00 UTC,2024-07-29 02:11:00 UTC,2024-07-28 17:20:00 UTC,2024-07-29 02:10:00 UTC
MDELM4EDPP,2024-07-04 01:10:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU71B,FHMIB,FMEE,RUN,LFPO,ORY,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-04 @ 01:10 UTC,2024-07-04 @ 01:10 UTC,00:00:00,9e5cafa6-0ed1-49e0-9d7e-ec30c617232e,6a4943f3-7b0e-4253-9084-49cfb56bc103,1,2,0,15480,9486.36,216,217,false,2024-07-04 01:10:00 UTC,2024-07-04 05:28:00 UTC,2024-07-03 18:10:00 UTC,2024-07-04 05:35:00 UTC
HCP44CKXPW,2024-07-04 18:40:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU72C,FHMIB,LFPO,ORY,FMEE,RUN,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-04 @ 18:40 UTC,2024-07-04 @ 18:40 UTC,00:00:00,5a664410-2fdf-4b61-a61b-ef62dc9c0fc9,a102529c-9a86-4350-b8ab-87fc9579547e,1,2,0,12600,9488.8,165,166,false,2024-07-04 15:11:00 UTC,2024-07-04 18:41:00 UTC,,
UY4YEXPCTK,2024-07-08 18:30:00 UTC,,,,395.00,USD,395.00,USD,Somalia,FRENCH BLUE,KKYTYFEWRV,FBU72C,FHMIB,LFPO,ORY,FMEE,RUN,AIRBUS,AIRBUS A-350-1000 WXB ,A35K,286670.0,2024-07-08 @ 18:30 UTC,2024-07-08 @ 18:30 UTC,00:00:00,e99585d9-2c5f-4bb6-9814-379a67220155,0c24f7cc-2fc6-4f71-954c-388d1e15f12f,1,2,0,13980,9528.25,186,187,false,2024-07-08 14:39:00 UTC,2024-07-08 18:32:00 UTC,,
Q394NXKPUJ,2024-07-24 03:29:00 UTC,,,,395.00,USD,395.00,USD,Somalia,CORSE AIR INTERNATIONAL,N49T9VTEMP,CRL774,FHETE,LFPO,ORY,FMEE,RUN,AIRBUS,AIRBUS A-330-900,A339,251000.0,2024-07-24 @ 03:29 UTC,2024-07-24 @ 03:57 UTC,00:28:00,a7aec7f9-292a-4daf-8d22-c591b0541e13,2cad3342-05d3-4c4b-bf45-b915e251f990,29,29,1680,39300,9486.93,258,259,false,2024-07-23 19:51:00 UTC,2024-07-24 06:46:00 UTC,2024-07-23 19:15:00 UTC,2024-07-24 06:45:00 UTC
FCZL79PPY7,2024-07-28 12:10:00 UTC,,,,345.00,USD,345.00,USD,Somalia,FLYDUBAI,PVM4KVPCC4,FDB620,A6FGH,HUEN,EBB,OMDB,DXB,BOEING,BOEING 737-800,B738,70530.0,2024-07-28 @ 12:10 UTC,2024-07-28 @ 12:10 UTC,00:00:00,ad014161-052f-40a9-a5df-4dfcebd2917a,3758ee90-bd19-49fb-a446-5b1ab728c585,2,2,0,19020,4113.47,99,99,false,2024-07-28 08:46:00 UTC,2024-07-28 14:03:00 UTC,2024-07-28 08:30:00 UTC,2024-07-28 14:10:00 UTC
